algorithm,scenario,size,digits,repetition,execution_time,memory_used_bytes
bubble_sort,reverse,36000,1,2,2.954687,144000
bubble_sort,reverse,36000,1,3,2.953818,144000
bubble_sort,reverse,37000,1,1,3.120883,148000
bubble_sort,reverse,37000,1,2,3.120109,148000
bubble_sort,reverse,37000,1,3,3.120242,148000
bubble_sort,reverse,38000,1,1,3.291656,152000
bubble_sort,reverse,38000,1,2,3.291779,152000
bubble_sort,reverse,38000,1,3,3.290984,152000
bubble_sort,reverse,39000,1,1,3.468146,156000
bubble_sort,reverse,39000,1,2,3.467335,156000
bubble_sort,reverse,39000,1,3,3.467840,156000
bubble_sort,reverse,40000,1,1,3.646748,160000
bubble_sort,reverse,40000,1,2,3.646553,160000
bubble_sort,reverse,40000,1,3,3.647473,160000
bubble_sort,reverse,41000,1,1,3.831734,164000
bubble_sort,reverse,41000,1,2,3.832014,164000
bubble_sort,reverse,41000,1,3,3.831781,164000
bubble_sort,reverse,42000,1,1,4.022070,168000
bubble_sort,reverse,42000,1,2,4.021377,168000
bubble_sort,reverse,42000,1,3,4.022849,168000
bubble_sort,reverse,43000,1,1,4.214987,172000
bubble_sort,reverse,43000,1,2,4.214527,172000
bubble_sort,reverse,43000,1,3,4.214546,172000
bubble_sort,reverse,44000,1,1,4.413996,176000
bubble_sort,reverse,44000,1,2,4.412798,176000
bubble_sort,reverse,44000,1,3,4.412266,176000
bubble_sort,reverse,45000,1,1,4.619849,180000
bubble_sort,reverse,45000,1,2,4.615031,180000
bubble_sort,reverse,45000,1,3,4.616208,180000
bubble_sort,reverse,46000,1,1,4.824934,184000
bubble_sort,reverse,46000,1,2,4.824721,184000
bubble_sort,reverse,46000,1,3,4.822625,184000
bubble_sort,reverse,47000,1,1,5.034625,188000
bubble_sort,reverse,47000,1,2,5.034479,188000
bubble_sort,reverse,47000,1,3,5.034618,188000
bubble_sort,reverse,48000,1,1,5.251887,192000
bubble_sort,reverse,48000,1,2,5.252631,192000
bubble_sort,reverse,48000,1,3,5.251597,192000
bubble_sort,reverse,49000,1,1,5.472417,196000
bubble_sort,reverse,49000,1,2,5.472011,196000
bubble_sort,reverse,49000,1,3,5.473272,196000
bubble_sort,reverse,50000,1,1,5.698673,200000
bubble_sort,reverse,50000,1,2,5.697799,200000
bubble_sort,reverse,50000,1,3,5.698724,200000
bubble_sort,reverse,51000,1,1,5.927081,204000
bubble_sort,reverse,51000,1,2,5.926602,204000
bubble_sort,reverse,51000,1,3,5.927338,204000
bubble_sort,reverse,52000,1,1,6.162435,208000
bubble_sort,reverse,52000,1,2,6.161835,208000
bubble_sort,reverse,52000,1,3,6.160919,208000
bubble_sort,reverse,53000,1,1,6.400994,212000
bubble_sort,reverse,53000,1,2,6.401918,212000
bubble_sort,reverse,53000,1,3,6.400647,212000
bubble_sort,reverse,54000,1,1,6.645666,216000
bubble_sort,reverse,54000,1,2,6.644452,216000
bubble_sort,reverse,54000,1,3,6.644788,216000
bubble_sort,reverse,55000,1,1,6.893580,220000
bubble_sort,reverse,55000,1,2,6.892870,220000
bubble_sort,reverse,55000,1,3,6.892778,220000
bubble_sort,reverse,56000,1,1,7.147538,224000
bubble_sort,reverse,56000,1,2,7.146762,224000
bubble_sort,reverse,56000,1,3,7.146475,224000
bubble_sort,reverse,57000,1,1,7.408840,228000
bubble_sort,reverse,57000,1,2,7.404399,228000
bubble_sort,reverse,57000,1,3,7.404899,228000
bubble_sort,reverse,58000,1,1,7.666577,232000
bubble_sort,reverse,58000,1,2,7.666308,232000
bubble_sort,reverse,58000,1,3,7.667277,232000
bubble_sort,reverse,59000,1,1,7.933658,236000
bubble_sort,reverse,59000,1,2,7.932815,236000
bubble_sort,reverse,59000,1,3,7.933423,236000
bubble_sort,reverse,60000,1,1,8.203727,240000
bubble_sort,reverse,60000,1,2,8.205794,240000
bubble_sort,reverse,60000,1,3,8.206686,240000
bubble_sort,reverse,61000,1,1,8.479792,244000
bubble_sort,reverse,61000,1,2,8.481075,244000
bubble_sort,reverse,61000,1,3,8.479563,244000
bubble_sort,reverse,62000,1,1,8.761903,248000
bubble_sort,reverse,62000,1,2,8.760602,248000
bubble_sort,reverse,62000,1,3,8.760074,248000
bubble_sort,reverse,63000,1,1,9.045393,252000
bubble_sort,reverse,63000,1,2,9.045891,252000
bubble_sort,reverse,63000,1,3,9.045673,252000
bubble_sort,reverse,64000,1,1,9.333812,256000
bubble_sort,reverse,64000,1,2,9.334749,256000
bubble_sort,reverse,64000,1,3,9.335988,256000
bubble_sort,reverse,65000,1,1,9.627717,260000
bubble_sort,reverse,65000,1,2,9.627833,260000
bubble_sort,reverse,65000,1,3,9.630692,260000
bubble_sort,reverse,66000,1,1,9.926718,264000
bubble_sort,reverse,66000,1,2,9.927251,264000
bubble_sort,reverse,66000,1,3,9.927954,264000
bubble_sort,reverse,67000,1,1,10.229730,268000
bubble_sort,reverse,67000,1,2,10.229955,268000
bubble_sort,reverse,67000,1,3,10.230564,268000
bubble_sort,reverse,68000,1,1,10.538168,272000
bubble_sort,reverse,68000,1,2,10.537502,272000
bubble_sort,reverse,68000,1,3,10.538953,272000
