algorithm,scenario,size,digits,repetition,execution_time,memory_used_bytes
bubble_sort,random,39000,1,1,2.901333,156000
bubble_sort,random,39000,1,1,2.899741,156000
bubble_sort,random,40000,1,1,3.062898,160000
bubble_sort,random,40000,1,1,3.057220,160000
bubble_sort,random,40000,1,1,3.068848,160000
bubble_sort,random,41000,1,1,3.222493,164000
bubble_sort,random,41000,1,1,3.226711,164000
bubble_sort,random,41000,1,1,3.209237,164000
bubble_sort,random,42000,1,1,3.374803,168000
bubble_sort,random,42000,1,1,3.379360,168000
bubble_sort,random,42000,1,1,3.384497,168000
bubble_sort,random,43000,1,1,3.535072,172000
bubble_sort,random,43000,1,1,3.549190,172000
bubble_sort,random,43000,1,1,3.545275,172000
bubble_sort,random,44000,1,1,3.705830,176000
bubble_sort,random,44000,1,1,3.712491,176000
bubble_sort,random,44000,1,1,3.710353,176000
bubble_sort,random,45000,1,1,3.891426,180000
bubble_sort,random,45000,1,1,3.891997,180000
bubble_sort,random,45000,1,1,3.889182,180000
bubble_sort,random,46000,1,1,4.044789,184000
bubble_sort,random,46000,1,1,4.070435,184000
bubble_sort,random,46000,1,1,4.070557,184000
bubble_sort,random,47000,1,1,4.240024,188000
bubble_sort,random,47000,1,1,4.240549,188000
bubble_sort,random,47000,1,1,4.239196,188000
bubble_sort,random,48000,1,1,4.427845,192000
bubble_sort,random,48000,1,1,4.436052,192000
bubble_sort,random,48000,1,1,4.419748,192000
bubble_sort,random,49000,1,1,4.603004,196000
bubble_sort,random,49000,1,1,4.577030,196000
bubble_sort,random,49000,1,1,4.620098,196000
bubble_sort,random,50000,1,1,4.798409,200000
bubble_sort,random,50000,1,1,4.789920,200000
bubble_sort,random,50000,1,1,4.808785,200000
bubble_sort,random,51000,1,1,4.984008,204000
bubble_sort,random,51000,1,1,4.991467,204000
bubble_sort,random,51000,1,1,5.011367,204000
bubble_sort,random,52000,1,1,5.194965,208000
bubble_sort,random,52000,1,1,5.209228,208000
bubble_sort,random,52000,1,1,5.199764,208000
bubble_sort,random,53000,1,1,5.407002,212000
bubble_sort,random,53000,1,1,5.413765,212000
bubble_sort,random,53000,1,1,5.402341,212000
bubble_sort,random,54000,1,1,5.623290,216000
bubble_sort,random,54000,1,1,5.608450,216000
bubble_sort,random,54000,1,1,5.622773,216000
bubble_sort,random,55000,1,1,5.822485,220000
bubble_sort,random,55000,1,1,5.818519,220000
bubble_sort,random,55000,1,1,5.826701,220000
bubble_sort,random,56000,1,1,6.052064,224000
bubble_sort,random,56000,1,1,6.068547,224000
bubble_sort,random,56000,1,1,6.051436,224000
bubble_sort,random,57000,1,1,6.262676,228000
bubble_sort,random,57000,1,1,6.254080,228000
bubble_sort,random,57000,1,1,6.260509,228000
bubble_sort,random,58000,1,1,6.492819,232000
bubble_sort,random,58000,1,1,6.466762,232000
bubble_sort,random,58000,1,1,6.472925,232000
bubble_sort,random,59000,1,1,6.704128,236000
bubble_sort,random,59000,1,1,6.712795,236000
bubble_sort,random,59000,1,1,6.726023,236000
bubble_sort,random,60000,1,1,6.942929,240000
bubble_sort,random,60000,1,1,6.933873,240000
bubble_sort,random,60000,1,1,6.933557,240000
bubble_sort,random,61000,1,1,7.175737,244000
bubble_sort,random,61000,1,1,7.166654,244000
bubble_sort,random,61000,1,1,7.176604,244000
bubble_sort,random,62000,1,1,7.420191,248000
bubble_sort,random,62000,1,1,7.425809,248000
bubble_sort,random,62000,1,1,7.388752,248000
bubble_sort,random,63000,1,1,7.659088,252000
bubble_sort,random,63000,1,1,7.632951,252000
bubble_sort,random,63000,1,1,7.644257,252000
bubble_sort,random,64000,1,1,7.899237,256000
bubble_sort,random,64000,1,1,7.901903,256000
bubble_sort,random,64000,1,1,7.870849,256000
bubble_sort,random,65000,1,1,8.168417,260000
bubble_sort,random,65000,1,1,8.146266,260000
bubble_sort,random,65000,1,1,8.143952,260000
bubble_sort,random,66000,1,1,8.418058,264000
bubble_sort,random,66000,1,1,8.445677,264000
bubble_sort,random,66000,1,1,8.373990,264000
bubble_sort,random,67000,1,1,8.653902,268000
bubble_sort,random,67000,1,1,8.626065,268000
bubble_sort,random,67000,1,1,8.661658,268000
bubble_sort,random,68000,1,1,8.905336,272000
bubble_sort,random,68000,1,1,8.909298,272000
bubble_sort,random,68000,1,1,8.920117,272000
bubble_sort,random,69000,1,1,9.186665,276000
bubble_sort,random,69000,1,1,9.195281,276000
bubble_sort,random,69000,1,1,9.166437,276000
bubble_sort,random,70000,1,1,9.485781,280000
bubble_sort,random,70000,1,1,9.480780,280000
bubble_sort,random,70000,1,1,9.486971,280000
bubble_sort,random,71000,1,1,9.743471,284000
bubble_sort,random,71000,1,1,9.761033,284000
bubble_sort,random,71000,1,1,9.705231,284000
bubble_sort,random,72000,1,1,10.022607,288000
bubble_sort,random,72000,1,1,10.006054,288000
bubble_sort,random,72000,1,1,10.008813,288000
bubble_sort,random,73000,1,1,10.272843,292000
bubble_sort,random,73000,1,1,10.294052,292000
bubble_sort,random,73000,1,1,10.284172,292000
bubble_sort,random,74000,1,1,10.573552,296000
bubble_sort,random,74000,1,1,10.612538,296000
bubble_sort,random,74000,1,1,10.587183,296000
bubble_sort,random,75000,1,1,10.886918,300000
bubble_sort,random,75000,1,1,10.872805,300000
bubble_sort,random,75000,1,1,10.833906,300000
bubble_sort,random,76000,1,1,11.181178,304000
bubble_sort,random,76000,1,1,11.173698,304000
bubble_sort,random,76000,1,1,11.139736,304000
bubble_sort,random,77000,1,1,11.441177,308000
bubble_sort,random,77000,1,1,11.464426,308000
bubble_sort,random,77000,1,1,11.498812,308000
bubble_sort,random,78000,1,1,11.786953,312000
bubble_sort,random,78000,1,1,11.719528,312000
bubble_sort,random,78000,1,1,11.748166,312000
bubble_sort,random,79000,1,1,12.109918,316000
bubble_sort,random,79000,1,1,12.053179,316000
bubble_sort,random,79000,1,1,12.084849,316000
bubble_sort,random,80000,1,1,12.388487,320000
bubble_sort,random,80000,1,1,12.351784,320000
bubble_sort,random,80000,1,1,12.391534,320000
bubble_sort,random,81000,1,1,12.717082,324000
bubble_sort,random,81000,1,1,12.664715,324000
bubble_sort,random,81000,1,1,12.701535,324000
bubble_sort,random,82000,1,1,12.990791,328000
bubble_sort,random,82000,1,1,12.983524,328000
bubble_sort,random,82000,1,1,12.976601,328000
bubble_sort,random,83000,1,1,13.343884,332000
bubble_sort,random,83000,1,1,13.347228,332000
bubble_sort,random,83000,1,1,13.326779,332000
bubble_sort,random,84000,1,1,13.650974,336000
bubble_sort,random,84000,1,1,13.705251,336000
bubble_sort,random,84000,1,1,13.661046,336000
bubble_sort,random,85000,1,1,13.985106,340000
bubble_sort,random,85000,1,1,13.992175,340000
bubble_sort,random,85000,1,1,13.947681,340000
bubble_sort,random,86000,1,1,14.296585,344000
bubble_sort,random,86000,1,1,14.314871,344000
bubble_sort,random,86000,1,1,14.369391,344000
bubble_sort,random,87000,1,1,14.651554,348000
bubble_sort,random,87000,1,1,14.660611,348000
bubble_sort,random,87000,1,1,14.665558,348000
bubble_sort,random,88000,1,1,14.943214,352000
bubble_sort,random,88000,1,1,15.006502,352000
bubble_sort,random,88000,1,1,14.960837,352000
bubble_sort,random,89000,1,1,15.374445,356000
bubble_sort,random,89000,1,1,15.335964,356000
bubble_sort,random,89000,1,1,15.376831,356000
bubble_sort,random,90000,1,1,15.674954,360000
bubble_sort,random,90000,1,1,15.661741,360000
bubble_sort,random,90000,1,1,15.743615,360000
bubble_sort,random,91000,1,1,16.031954,364000
bubble_sort,random,91000,1,1,16.054154,364000
bubble_sort,random,91000,1,1,16.052876,364000
bubble_sort,random,92000,1,1,16.351761,368000
bubble_sort,random,92000,1,1,16.364086,368000
bubble_sort,random,92000,1,1,16.402698,368000
bubble_sort,random,93000,1,1,16.672647,372000
bubble_sort,random,93000,1,1,16.746676,372000
bubble_sort,random,93000,1,1,16.790070,372000
bubble_sort,random,94000,1,1,17.101478,376000
bubble_sort,random,94000,1,1,17.127391,376000
bubble_sort,random,94000,1,1,17.108432,376000
bubble_sort,random,95000,1,1,17.479358,380000
bubble_sort,random,95000,1,1,17.510219,380000
bubble_sort,random,95000,1,1,17.462662,380000
bubble_sort,random,96000,1,1,17.853426,384000
bubble_sort,random,96000,1,1,17.867725,384000
bubble_sort,random,96000,1,1,17.881389,384000
bubble_sort,random,97000,1,1,18.227891,388000
bubble_sort,random,97000,1,1,18.248141,388000
bubble_sort,random,97000,1,1,18.185538,388000
bubble_sort,random,98000,1,1,18.546720,392000
bubble_sort,random,98000,1,1,18.561376,392000
bubble_sort,random,98000,1,1,18.622345,392000
bubble_sort,random,99000,1,1,18.935756,396000
bubble_sort,random,99000,1,1,18.963358,396000
bubble_sort,random,99000,1,1,18.977646,396000
bubble_sort,random,100000,1,1,19.345659,400000
bubble_sort,random,100000,1,1,19.379897,400000
bubble_sort,random,100000,1,1,19.425046,400000
insertion_sort,random,1000,1,1,0.000109,4000
insertion_sort,random,1000,1,1,0.000108,4000
insertion_sort,random,1000,1,1,0.000094,4000
insertion_sort,random,2000,1,1,0.000316,8000
insertion_sort,random,2000,1,1,0.000307,8000
insertion_sort,random,2000,1,1,0.000315,8000
insertion_sort,random,3000,1,1,0.000692,12000
insertion_sort,random,3000,1,1,0.000701,12000
insertion_sort,random,3000,1,1,0.000669,12000
insertion_sort,random,4000,1,1,0.001174,16000
insertion_sort,random,4000,1,1,0.001172,16000
insertion_sort,random,4000,1,1,0.001166,16000
insertion_sort,random,5000,1,1,0.001845,20000
insertion_sort,random,5000,1,1,0.001821,20000
insertion_sort,random,5000,1,1,0.001817,20000
insertion_sort,random,6000,1,1,0.002601,24000
insertion_sort,random,6000,1,1,0.002591,24000
insertion_sort,random,6000,1,1,0.002576,24000
insertion_sort,random,7000,1,1,0.003486,28000
insertion_sort,random,7000,1,1,0.003561,28000
insertion_sort,random,7000,1,1,0.003528,28000
insertion_sort,random,8000,1,1,0.004619,32000
insertion_sort,random,8000,1,1,0.004571,32000
insertion_sort,random,8000,1,1,0.004607,32000
insertion_sort,random,9000,1,1,0.005753,36000
insertion_sort,random,9000,1,1,0.005986,36000
insertion_sort,random,9000,1,1,0.005798,36000
insertion_sort,random,10000,1,1,0.007138,40000
insertion_sort,random,10000,1,1,0.007164,40000
insertion_sort,random,10000,1,1,0.007071,40000
insertion_sort,random,11000,1,1,0.008652,44000
insertion_sort,random,11000,1,1,0.008681,44000
insertion_sort,random,11000,1,1,0.008655,44000
insertion_sort,random,12000,1,1,0.010296,48000
insertion_sort,random,12000,1,1,0.010223,48000
insertion_sort,random,12000,1,1,0.010266,48000
insertion_sort,random,13000,1,1,0.012131,52000
insertion_sort,random,13000,1,1,0.012000,52000
insertion_sort,random,13000,1,1,0.012483,52000
insertion_sort,random,14000,1,1,0.014130,56000
insertion_sort,random,14000,1,1,0.013831,56000
insertion_sort,random,14000,1,1,0.013991,56000
insertion_sort,random,15000,1,1,0.016030,60000
insertion_sort,random,15000,1,1,0.016099,60000
insertion_sort,random,15000,1,1,0.015742,60000
insertion_sort,random,16000,1,1,0.018327,64000
insertion_sort,random,16000,1,1,0.018855,64000
insertion_sort,random,16000,1,1,0.018397,64000
insertion_sort,random,17000,1,1,0.020692,68000
insertion_sort,random,17000,1,1,0.020578,68000
insertion_sort,random,17000,1,1,0.020572,68000
insertion_sort,random,18000,1,1,0.023109,72000
insertion_sort,random,18000,1,1,0.023081,72000
insertion_sort,random,18000,1,1,0.023460,72000
insertion_sort,random,19000,1,1,0.025666,76000
insertion_sort,random,19000,1,1,0.025577,76000
insertion_sort,random,19000,1,1,0.025606,76000
insertion_sort,random,20000,1,1,0.028446,80000
